brand,model,year,mileage,capacity,power,price,type
QJMOTOR,SRK 800RR,2026.0,1.0,7763.0,102.0,34900.0,Motorcycle
QJMOTOR,SVT 650,2025.0,1.0,6503.0,76.0,27990.0,Motorcycle
Honda,CRF,2025.0,1.0,10983.0,102.0,79900.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,50990.0,Motorcycle
Suzuki,DL,2025.0,1.0,7763.0,84.0,47900.0,Motorcycle
Inny,Inny,2026.0,1.0,0.0,27.0,24500.0,Motorcycle
Yamaha,X-max,2025.0,1.0,1253.0,12.0,21000.0,Motorcycle
CFMoto,CForce,2025.0,1.0,4003.0,31.0,23900.0,Motorcycle
CFMoto,CForce,2025.0,1.0,4003.0,31.0,24900.0,Motorcycle
QJMOTOR,SVT 650X,2025.0,1.0,6503.0,76.0,29990.0,Motorcycle
Aprilia,SR,2025.0,1.0,1253.0,15.0,16500.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,44990.0,Motorcycle
Triumph,Bonneville Bobber,2024.0,396.0,12003.0,78.0,50900.0,Motorcycle
QJMOTOR,SRT900S,2025.0,1.0,9003.0,102.0,34990.0,Motorcycle
QJMOTOR,SRT900S,2025.0,1.0,9003.0,104.0,36990.0,Motorcycle
QJMOTOR,SRT 600SX,2026.0,1.0,5543.0,47.0,24990.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,8003.0,102.0,34990.0,Motorcycle
QJMOTOR,SRT900SX,2025.0,1.0,9003.0,104.0,36990.0,Motorcycle
QJMOTOR,SRV 125V,2025.0,1.0,1253.0,14.0,15990.0,Motorcycle
QJMOTOR,SRT 600SX,2025.0,1.0,6003.0,56.0,24990.0,Motorcycle
QJMOTOR,SRK 125R,2025.0,1.0,1253.0,15.0,14490.0,Motorcycle
QJMOTOR,SRV 125,2025.0,1.0,1253.0,15.0,10990.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,8003.0,102.0,31990.0,Motorcycle
Vespa,Inny,2024.0,941.0,1253.0,12.0,39946.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,43990.0,Motorcycle
